Pill_Name,Generic_Name,Uses,Side_Effects,Manufacturer,Dosage (mg),Prescription_Required
"Quincillin1-225","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","BlueLake Pharma","875","Yes"
"Rivostat1-226","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","NovaHealth Labs","500","Yes"
"Sanopril1-227","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","MediCore Therapeutics","500","Yes"
"Terapine1-228","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Pillara Biotech","100","Yes"
"Urosone1-229","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","ClearPath Pharmaceuticals","250","Yes"
"Vitatab1-230","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","EverWell Labs","500","Yes"
"Wellozol1-231","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Suncrest Pharma","150","Yes"
"Xylofine1-232","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","GreenLeaf Bio","500","Yes"
"Yaramide1-233","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","PrimeCure Inc","250","Yes"
"Zenotril1-234","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Horizon Health","800","Yes"
"Acuvex1-235","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","VitalAxis Labs","325","No"
"Bioril1-236","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Orion Medica","400","No"
"Curanac1-237","naproxen","Pain and inflammation","indigestion; headache; dizziness","Lumen Pharma","500","No"
"Duramir1-238","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","CedarBridge Labs","325","No"
"Evonex1-239","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Silverline Pharmaceuticals","50","No"
"Flexrova1-240","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","BlueLake Pharma","10","No"
"Genodex1-241","loratadine","Seasonal allergies","headache; dry mouth; fatigue","NovaHealth Labs","10","No"
"Hemalon1-242","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","MediCore Therapeutics","120","No"
"Irozep1-243","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Pillara Biotech","25","No"
"Junomox1-244","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","ClearPath Pharmaceuticals","500","Yes"
"Karocillin1-245","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","EverWell Labs","5","Yes"
"Lumastat1-246","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Suncrest Pharma","100","Yes"
"Medipril1-247","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","GreenLeaf Bio","15","Yes"
"Nexapine1-248","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","PrimeCure Inc","10","Yes"
"Orbisone1-249","enalapril","High blood pressure","cough; dizziness; high potassium","Horizon Health","2.5","Yes"
"Pillotab1-250","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","VitalAxis Labs","2.5","Yes"
"Quinzol1-251","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Orion Medica","50","Yes"
"Rivofine1-252","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Lumen Pharma","100","Yes"
"Sanomide1-253","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","CedarBridge Labs","250","Yes"
"Teratril1-254","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Silverline Pharmaceuticals","500","Yes"
"Urovex1-255","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","BlueLake Pharma","750","Yes"
"Vitaril1-256","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","NovaHealth Labs","100","Yes"
"Wellonac1-257","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","MediCore Therapeutics","250","Yes"
"Xylomir1-258","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Pillara Biotech","500","Yes"
"Yaranex1-259","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","ClearPath Pharmaceuticals","150","Yes"
"Zenorova1-260","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","EverWell Labs","500","Yes"
"Acudex1-261","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Suncrest Pharma","250","Yes"
"Biolon1-262","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","GreenLeaf Bio","800","Yes"
"Curazep1-263","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","PrimeCure Inc","500","No"
"Duramox1-264","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Horizon Health","600","No"
"Evocillin1-265","naproxen","Pain and inflammation","indigestion; headache; dizziness","VitalAxis Labs","220","No"
"Flexstat1-266","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Orion Medica","325","No"
"Genopril1-267","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Lumen Pharma","50","No"
"Hemapine1-268","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","CedarBridge Labs","10","No"
"Irosone1-269","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Silverline Pharmaceuticals","10","No"
"Junotab1-270","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","BlueLake Pharma","120","No"
"Karozol1-271","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","NovaHealth Labs","25","No"
"Lumafine1-272","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","MediCore Therapeutics","850","Yes"
"Medimide1-273","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Pillara Biotech","10","Yes"
"Nexatril1-274","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","ClearPath Pharmaceuticals","25","Yes"
"Orbivex1-275","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","EverWell Labs","30","Yes"
"Pilloril1-276","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Suncrest Pharma","2.5","Yes"
"Quinnac1-277","enalapril","High blood pressure","cough; dizziness; high potassium","GreenLeaf Bio","2.5","Yes"
"Rivomir1-278","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","PrimeCure Inc","5","Yes"
"Sanonex1-279","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Horizon Health","100","Yes"
"Terarova1-280","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","VitalAxis Labs","25","Yes"
"Urodex1-281","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Orion Medica","500","Yes"
"Vitalon1-282","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Lumen Pharma","500","Yes"
"Wellozep1-283","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","CedarBridge Labs","250","Yes"
"Xylomox1-284","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Silverline Pharmaceuticals","100","Yes"
"Yaracillin1-285","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","BlueLake Pharma","250","Yes"
"Zenostat1-286","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","NovaHealth Labs","500","Yes"
"Acupril1-287","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","MediCore Therapeutics","150","Yes"
"Biopine1-288","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Pillara Biotech","500","Yes"
"Curasone1-289","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","ClearPath Pharmaceuticals","250","Yes"
"Duratab1-290","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","EverWell Labs","800","Yes"
"Evozol1-291","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Suncrest Pharma","650","No"
"Flexfine1-292","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","GreenLeaf Bio","200","No"
"Genomide1-293","naproxen","Pain and inflammation","indigestion; headache; dizziness","PrimeCure Inc","250","No"
"Hematril1-294","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Horizon Health","325","No"
"Irovex1-295","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","VitalAxis Labs","50","No"
"Junoril1-296","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Orion Medica","10","No"
"Karonac1-297","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Lumen Pharma","10","No"
"Lumamir1-298","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","CedarBridge Labs","120","No"
"Medinex1-299","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Silverline Pharmaceuticals","25","No"
"Nexarova1-300","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","BlueLake Pharma","1000","Yes"
"Orbidex1-301","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","NovaHealth Labs","2.5","Yes"
"Pillolon1-302","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","MediCore Therapeutics","50","Yes"
"Quinzep1-303","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Pillara Biotech","45","Yes"
"Rivomox1-304","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","ClearPath Pharmaceuticals","20","Yes"
"Sanocillin1-305","enalapril","High blood pressure","cough; dizziness; high potassium","EverWell Labs","2.5","Yes"
"Terastat1-306","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Suncrest Pharma","10","Yes"
"Uropril1-307","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","GreenLeaf Bio","25","Yes"
"Vitapine1-308","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","PrimeCure Inc","50","Yes"
"Wellosone1-309","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Horizon Health","875","Yes"
"Xylotab1-310","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","VitalAxis Labs","500","Yes"
"Yarazol1-311","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Orion Medica","500","Yes"
"Zenofine1-312","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Lumen Pharma","100","Yes"
"Acumide1-313","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","CedarBridge Labs","250","Yes"
"Biotril1-314","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Silverline Pharmaceuticals","500","Yes"
"Curavex1-315","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","BlueLake Pharma","150","Yes"
"Duraril1-316","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","NovaHealth Labs","500","Yes"
"Evonac1-317","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","MediCore Therapeutics","250","Yes"
"Flexmir1-318","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Pillara Biotech","800","Yes"
"Genonex1-319","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","ClearPath Pharmaceuticals","325","No"
"Hemarova1-320","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","EverWell Labs","400","No"
"Irodex1-321","naproxen","Pain and inflammation","indigestion; headache; dizziness","Suncrest Pharma","500","No"
"Junolon1-322","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","GreenLeaf Bio","325","No"
"Karozep1-323","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","PrimeCure Inc","50","No"
"Lumamox1-324","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Horizon Health","10","No"
"Medicillin1-325","loratadine","Seasonal allergies","headache; dry mouth; fatigue","VitalAxis Labs","10","No"
"Nexastat1-326","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Orion Medica","120","No"
"Orbipril1-327","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Lumen Pharma","25","No"
"Pillopine1-328","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","CedarBridge Labs","500","Yes"
"Quinsone1-329","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Silverline Pharmaceuticals","5","Yes"
"Rivotab1-330","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","BlueLake Pharma","100","Yes"
"Sanozol1-331","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","NovaHealth Labs","15","Yes"
"Terafine1-332","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","MediCore Therapeutics","5","Yes"
"Uromide1-333","enalapril","High blood pressure","cough; dizziness; high potassium","Pillara Biotech","2.5","Yes"
"Vitatril1-334","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","ClearPath Pharmaceuticals","2.5","Yes"
"Wellovex1-335","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","EverWell Labs","50","Yes"
"Xyloril1-336","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Suncrest Pharma","100","Yes"
"Yaranac1-337","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","GreenLeaf Bio","250","Yes"
"Zenomir1-338","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","PrimeCure Inc","500","Yes"
"Acunex1-339","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Horizon Health","750","Yes"
"Biorova1-340","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","VitalAxis Labs","100","Yes"
"Curadex1-341","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Orion Medica","250","Yes"
"Duralon1-342","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Lumen Pharma","500","Yes"
"Evozep1-343","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","CedarBridge Labs","150","Yes"
"Flexmox1-344","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Silverline Pharmaceuticals","500","Yes"
"Genocillin1-345","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","BlueLake Pharma","250","Yes"
"Hemastat1-346","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","NovaHealth Labs","800","Yes"
"Iropril1-347","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","MediCore Therapeutics","500","No"
"Junopine1-348","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Pillara Biotech","600","No"
"Karosone1-349","naproxen","Pain and inflammation","indigestion; headache; dizziness","ClearPath Pharmaceuticals","220","No"
"Lumatab1-350","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","EverWell Labs","325","No"
"Medizol1-351","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Suncrest Pharma","50","No"
"Nexafine1-352","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","GreenLeaf Bio","10","No"
"Orbimide1-353","loratadine","Seasonal allergies","headache; dry mouth; fatigue","PrimeCure Inc","10","No"
"Pillotril1-354","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Horizon Health","120","No"
"Quinvex1-355","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","VitalAxis Labs","25","No"
"Rivoril1-356","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Orion Medica","850","Yes"
"Sanonac1-357","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Lumen Pharma","10","Yes"
"Teramir1-358","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","CedarBridge Labs","25","Yes"
"Uronex1-359","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Silverline Pharmaceuticals","30","Yes"
"Vitarova1-360","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","BlueLake Pharma","40","Yes"
"Wellodex1-361","enalapril","High blood pressure","cough; dizziness; high potassium","NovaHealth Labs","2.5","Yes"
"Xylolon1-362","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","MediCore Therapeutics","5","Yes"
"Yarazep1-363","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Pillara Biotech","100","Yes"
"Zenomox1-364","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","ClearPath Pharmaceuticals","25","Yes"
"Acucillin1-365","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","EverWell Labs","500","Yes"
"Biostat1-366","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Suncrest Pharma","500","Yes"
"Curapril1-367","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","GreenLeaf Bio","250","Yes"
"Durapine1-368","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","PrimeCure Inc","100","Yes"
"Evosone1-369","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Horizon Health","250","Yes"
"Flextab1-370","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","VitalAxis Labs","500","Yes"
"Genozol1-371","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Orion Medica","150","Yes"
"Hemafine1-372","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Lumen Pharma","500","Yes"
"Iromide1-373","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","CedarBridge Labs","250","Yes"
"Junotril1-374","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Silverline Pharmaceuticals","800","Yes"
"Karovex1-375","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","BlueLake Pharma","650","No"
"Lumaril1-376","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","NovaHealth Labs","200","No"
"Medinac1-377","naproxen","Pain and inflammation","indigestion; headache; dizziness","MediCore Therapeutics","250","No"
"Nexamir1-378","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Pillara Biotech","325","No"
"Orbinex1-379","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","ClearPath Pharmaceuticals","50","No"
"Pillorova1-380","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","EverWell Labs","10","No"
"Quindex1-381","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Suncrest Pharma","10","No"
"Rivolon1-382","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","GreenLeaf Bio","120","No"
"Sanozep1-383","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","PrimeCure Inc","25","No"
"Teramox1-384","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Horizon Health","1000","Yes"
"Urocillin1-385","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","VitalAxis Labs","2.5","Yes"
"Vitastat1-386","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Orion Medica","50","Yes"
"Wellopril1-387","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Lumen Pharma","45","Yes"
"Xylopine1-388","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","CedarBridge Labs","10","Yes"
"Yarasone1-389","enalapril","High blood pressure","cough; dizziness; high potassium","Silverline Pharmaceuticals","2.5","Yes"
"Zenotab1-390","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","BlueLake Pharma","10","Yes"
"Acuzol1-391","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","NovaHealth Labs","25","Yes"
"Biofine1-392","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","MediCore Therapeutics","50","Yes"
"Curamide1-393","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Pillara Biotech","875","Yes"
"Duratril1-394","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","ClearPath Pharmaceuticals","500","Yes"
"Evovex1-395","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","EverWell Labs","500","Yes"
"Flexril1-396","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Suncrest Pharma","100","Yes"
"Genonac1-397","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","GreenLeaf Bio","250","Yes"
"Hemamir1-398","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","PrimeCure Inc","500","Yes"
"Ironex1-399","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Horizon Health","150","Yes"
"Junorova1-400","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","VitalAxis Labs","500","Yes"
"Karodex1-401","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Orion Medica","250","Yes"
"Lumalon1-402","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Lumen Pharma","800","Yes"
"Medizep1-403","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","CedarBridge Labs","325","No"
"Nexamox1-404","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Silverline Pharmaceuticals","400","No"
"Orbicillin1-405","naproxen","Pain and inflammation","indigestion; headache; dizziness","BlueLake Pharma","500","No"
"Pillostat1-406","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","NovaHealth Labs","325","No"
"Quinpril1-407","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","MediCore Therapeutics","50","No"
"Rivopine1-408","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Pillara Biotech","10","No"
"Sanosone1-409","loratadine","Seasonal allergies","headache; dry mouth; fatigue","ClearPath Pharmaceuticals","10","No"
"Teratab1-410","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","EverWell Labs","120","No"
"Urozol1-411","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Suncrest Pharma","25","No"
"Vitafine1-412","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","GreenLeaf Bio","500","Yes"
"Wellomide1-413","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","PrimeCure Inc","5","Yes"
"Xylotril1-414","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Horizon Health","100","Yes"
"Yaravex1-415","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","VitalAxis Labs","15","Yes"
"Zenoril1-416","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Orion Medica","2.5","Yes"
"Acunac1-417","enalapril","High blood pressure","cough; dizziness; high potassium","Lumen Pharma","2.5","Yes"
"Biomir1-418","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","CedarBridge Labs","2.5","Yes"
"Curanex1-419","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Silverline Pharmaceuticals","50","Yes"
"Durarova1-420","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","BlueLake Pharma","100","Yes"
"Evodex1-421","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","NovaHealth Labs","250","Yes"
"Flexlon1-422","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","MediCore Therapeutics","500","Yes"
"Genozep1-423","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Pillara Biotech","750","Yes"
"Hemamox1-424","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","ClearPath Pharmaceuticals","100","Yes"
"Irocillin1-425","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","EverWell Labs","250","Yes"
"Junostat1-426","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Suncrest Pharma","500","Yes"
"Karopril1-427","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","GreenLeaf Bio","150","Yes"
"Lumapine1-428","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","PrimeCure Inc","500","Yes"
"Medisone1-429","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Horizon Health","250","Yes"
"Nexatab1-430","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","VitalAxis Labs","800","Yes"
"Orbizol1-431","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Orion Medica","500","No"
"Pillofine1-432","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Lumen Pharma","600","No"
"Quinmide1-433","naproxen","Pain and inflammation","indigestion; headache; dizziness","CedarBridge Labs","220","No"
"Rivotril1-434","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Silverline Pharmaceuticals","325","No"
"Sanovex1-435","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","BlueLake Pharma","50","No"
"Teraril1-436","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","NovaHealth Labs","10","No"
"Uronac1-437","loratadine","Seasonal allergies","headache; dry mouth; fatigue","MediCore Therapeutics","10","No"
"Vitamir1-438","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Pillara Biotech","120","No"
"Wellonex1-439","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","ClearPath Pharmaceuticals","25","No"
"Xylorova1-440","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","EverWell Labs","850","Yes"
"Yaradex1-441","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Suncrest Pharma","10","Yes"
"Zenolon1-442","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","GreenLeaf Bio","25","Yes"
"Acuzep1-443","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","PrimeCure Inc","30","Yes"
"Biomox1-444","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Horizon Health","20","Yes"
"Curacillin1-445","enalapril","High blood pressure","cough; dizziness; high potassium","VitalAxis Labs","2.5","Yes"
"Durastat1-446","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Orion Medica","5","Yes"
"Evopril1-447","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Lumen Pharma","100","Yes"
"Flexpine1-448","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","CedarBridge Labs","25","Yes"
"Genosone1-449","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Silverline Pharmaceuticals","500","Yes"
